"rules","support","confidence","coverage","lift","count"
"{Q3_item=Q3=HighCampaignInterest,Q7_item=Q7=HigherSocialMediaAttention,Q25_2_item=Q25_2=LaborHigh} => {Q27_item=Q27=Satisfied}",0.0660847880299252,0.868852459016393,0.0760598503740648,2.0925515679614,53
"{Q28_item=Q28=NotLowTrust,Q3_item=Q3=HighCampaignInterest,Q25_2_item=Q25_2=LaborHigh} => {Q27_item=Q27=Satisfied}",0.0648379052369077,0.866666666666667,0.0748129675810474,2.08728728728729,52
"{Q26_1_item=Q26_1=AlbaneseHigh,Q3_item=Q3=HighCampaignInterest,Q25_2_item=Q25_2=LaborHigh} => {Q27_item=Q27=Satisfied}",0.0698254364089776,0.861538461538462,0.0810473815461347,2.07493647493647,56
"{Q3_item=Q3=HighCampaignInterest,Q33_item=Q33=Group1_2,Q25_2_item=Q25_2=LaborHigh} => {Q27_item=Q27=Satisfied}",0.0698254364089776,0.835820895522388,0.0835411471321696,2.01299807269957,56
"{Q28_item=Q28=NotLowTrust,Q26_1_item=Q26_1=AlbaneseHigh,Q3_item=Q3=HighCampaignInterest} => {Q27_item=Q27=Satisfied}",0.0698254364089776,0.823529411764706,0.084788029925187,1.98339515986575,56
"{Q28_item=Q28=NotLowTrust,Q3_item=Q3=HighCampaignInterest,Q15_item=Q15=Group2} => {Q27_item=Q27=Satisfied}",0.0735660847880299,0.819444444444444,0.0897755610972569,1.97355689022356,59
"{Q26_1_item=Q26_1=AlbaneseHigh,Q3_item=Q3=HighCampaignInterest,Q32_item=Q32=Group1_2} => {Q27_item=Q27=Satisfied}",0.0773067331670823,0.81578947368421,0.0947630922693267,1.96475422791212,62
"{Q3_item=Q3=HighCampaignInterest,Q32_item=Q32=Group1_2,Q25_2_item=Q25_2=LaborHigh} => {Q27_item=Q27=Satisfied}",0.0660847880299252,0.815384615384615,0.0810473815461347,1.96377916377916,53
"{Q3_item=Q3=HighCampaignInterest,Q15_item=Q15=Group2,Q25_2_item=Q25_2=LaborHigh} => {Q27_item=Q27=Satisfied}",0.0760598503740648,0.813333333333333,0.0935162094763092,1.95883883883884,61
"{Q26_1_item=Q26_1=AlbaneseHigh,Q3_item=Q3=HighCampaignInterest,Q33_item=Q33=Group1_2} => {Q27_item=Q27=Satisfied}",0.0810473815461347,0.8125,0.0997506234413965,1.95683183183183,65
"{Q3_item=Q3=HighCampaignInterest,Q25_2_item=Q25_2=LaborHigh} => {Q27_item=Q27=Satisfied}",0.0798004987531172,0.810126582278481,0.098503740648379,1.95111567263466,64
"{Q28_item=Q28=NotLowTrust,Q3_item=Q3=HighCampaignInterest,Q7_item=Q7=HigherSocialMediaAttention} => {Q27_item=Q27=Satisfied}",0.0810473815461347,0.792682926829268,0.102244389027431,1.9091042261774,65
"{Q26_1_item=Q26_1=AlbaneseHigh,Q25_2_item=Q25_2=LaborHigh,Knowledge_item=Knowledge=Higher} => {Q27_item=Q27=Satisfied}",0.0997506234413965,0.792079207920792,0.125935162094763,1.90765022448191,80
"{Q26_1_item=Q26_1=AlbaneseHigh,Q3_item=Q3=HighCampaignInterest,Q7_item=Q7=HigherSocialMediaAttention} => {Q27_item=Q27=Satisfied}",0.0748129675810474,0.789473684210526,0.0947630922693267,1.9013750592698,60
"{Q26_1_item=Q26_1=AlbaneseHigh,Q3_item=Q3=HighCampaignInterest,Q15_item=Q15=Group2} => {Q27_item=Q27=Satisfied}",0.0785536159600998,0.7875,0.0997506234413965,1.89662162162162,63
"{Q26_1_item=Q26_1=AlbaneseHigh,Q33_item=Q33=Group1_2,Q25_2_item=Q25_2=LaborHigh} => {Q27_item=Q27=Satisfied}",0.114713216957606,0.786324786324786,0.145885286783042,1.89379122712456,92
"{Q28_item=Q28=NotLowTrust,Q33_item=Q33=Group1_2,Q25_2_item=Q25_2=LaborHigh} => {Q27_item=Q27=Satisfied}",0.122194513715711,0.784,0.155860349127182,1.88819219219219,98
"{Q33_item=Q33=Group1_2,Q25_2_item=Q25_2=LaborHigh,Knowledge_item=Knowledge=Higher} => {Q27_item=Q27=Satisfied}",0.0897755610972569,0.782608695652174,0.114713216957606,1.88484136310223,72
"{Q28_item=Q28=NotLowTrust,Q25_2_item=Q25_2=LaborHigh,Knowledge_item=Knowledge=Higher} => {Q27_item=Q27=Satisfied}",0.0935162094763092,0.78125,0.119700748129676,1.88156906906907,75
"{Q28_item=Q28=NotLowTrust,Q3_item=Q3=HighCampaignInterest,Q33_item=Q33=Group1_2} => {Q27_item=Q27=Satisfied}",0.0798004987531172,0.780487804878049,0.102244389027431,1.87973339192851,64
"{Q28_item=Q28=NotLowTrust,Q26_1_item=Q26_1=AlbaneseHigh,Q25_2_item=Q25_2=LaborHigh} => {Q27_item=Q27=Satisfied}",0.123441396508728,0.779527559055118,0.158354114713217,1.87742072781443,99
"{Q32_item=Q32=Group1_2,Q25_2_item=Q25_2=LaborHigh,Knowledge_item=Knowledge=Higher} => {Q27_item=Q27=Satisfied}",0.0835411471321696,0.77906976744186,0.107231920199501,1.87631817864376,67
"{Q26_1_item=Q26_1=AlbaneseHigh,Q33_item=Q33=Group1_2,Knowledge_item=Knowledge=Higher} => {Q27_item=Q27=Satisfied}",0.100997506234414,0.778846153846154,0.129675810473815,1.87577962577963,81
"{Q28_item=Q28=NotLowTrust,Q26_1_item=Q26_1=AlbaneseHigh,Q33_item=Q33=Group1_2} => {Q27_item=Q27=Satisfied}",0.113466334164589,0.777777777777778,0.145885286783042,1.87320653987321,91
"{Q15_item=Q15=Group2,Q25_2_item=Q25_2=LaborHigh,Knowledge_item=Knowledge=Higher} => {Q27_item=Q27=Satisfied}",0.107231920199501,0.774774774774775,0.138403990024938,1.8659740821903,86
"{Q26_1_item=Q26_1=AlbaneseHigh,Q3_item=Q3=HighCampaignInterest} => {Q27_item=Q27=Satisfied}",0.0897755610972569,0.774193548387097,0.115960099750623,1.86457425167103,72
"{Q3_item=Q3=HighCampaignInterest,Q15_item=Q15=Group2,Q33_item=Q33=Group1_2} => {Q27_item=Q27=Satisfied}",0.0810473815461347,0.773809523809524,0.104738154613466,1.86364936364936,65
"{Q28_item=Q28=NotLowTrust,Q3_item=Q3=HighCampaignInterest,Q32_item=Q32=Group1_2} => {Q27_item=Q27=Satisfied}",0.0748129675810474,0.769230769230769,0.0972568578553616,1.85262185262185,60
"{Q28_item=Q28=NotLowTrust,Q15_item=Q15=Group2,Q25_2_item=Q25_2=LaborHigh} => {Q27_item=Q27=Satisfied}",0.14713216957606,0.766233766233766,0.192019950124688,1.84540384540385,118
"{Q28_item=Q28=NotLowTrust,Q3_item=Q3=HighCampaignInterest,Knowledge_item=Knowledge=Higher} => {Q27_item=Q27=Satisfied}",0.0610972568578554,0.765625,0.0798004987531172,1.84393768768769,49
