"variable","value","n","percent"
"Q1",1,159,19.83
"Q1",2,347,43.27
"Q1",3,235,29.3
"Q1",4,61,7.61
"Q3",1,173,21.57
"Q3",2,352,43.89
"Q3",3,223,27.81
"Q3",4,54,6.73
"Q4_1",1,154,19.2
"Q4_1",2,339,42.27
"Q4_1",3,224,27.93
"Q4_1",4,85,10.6
"Q8",1,44,5.49
"Q8",2,400,49.88
"Q8",3,26,3.24
"Q8",4,72,8.98
"Q8",96,28,3.49
"Q8",97,232,28.93
"Q10",1,396,49.38
"Q10",2,257,32.04
"Q10",3,149,18.58
"Q15",1,64,7.98
"Q15",2,418,52.12
"Q15",3,27,3.37
"Q15",4,93,11.6
"Q15",96,49,6.11
"Q15",97,72,8.98
"Q15",NA,79,9.85
"Q21",1,467,58.23
"Q21",2,158,19.7
"Q21",3,60,7.48
"Q21",4,38,4.74
"Q21",NA,79,9.85
"Q28",1,387,48.25
"Q28",2,189,23.57
"Q28",3,172,21.45
"Q28",4,54,6.73
"Q29",1,199,24.81
"Q29",2,260,32.42
"Q29",3,261,32.54
"Q29",4,54,6.73
"Q29",5,28,3.49
"Q32",1,283,35.29
"Q32",2,110,13.72
"Q32",3,186,23.19
"Q32",4,56,6.98
"Q32",5,167,20.82
"Q33",1,270,33.67
"Q33",2,114,14.21
"Q33",3,200,24.94
"Q33",4,62,7.73
"Q33",5,156,19.45
