"variable_stat","value"
"Q7_n_non_missing",802
"Q7_mean",3.62593516209476
"Q7_median",3
"Q7_sd",2.6694228613634
"Q7_min",1
"Q7_max",8
"Q13_n_non_missing",802
"Q13_mean",4.33665835411471
"Q13_median",5
"Q13_sd",2.48066235073686
"Q13_min",0
"Q13_max",10
"Q25_2_n_non_missing",802
"Q25_2_mean",5.78678304239402
"Q25_2_median",5
"Q25_2_sd",2.98572130492339
"Q25_2_min",0
"Q25_2_max",10
"Q25_4_n_non_missing",802
"Q25_4_mean",4.84413965087282
"Q25_4_median",5
"Q25_4_sd",2.66795789346407
"Q25_4_min",0
"Q25_4_max",10
"Q26_1_n_non_missing",802
"Q26_1_mean",5.12094763092269
"Q26_1_median",5
"Q26_1_sd",3.01168512474949
"Q26_1_min",0
"Q26_1_max",10
"Q26_4_n_non_missing",802
"Q26_4_mean",4.1783042394015
"Q26_4_median",5
"Q26_4_sd",2.35847940119257
"Q26_4_min",0
"Q26_4_max",10
"political_knowledge_score_n_non_missing",802
"political_knowledge_score_mean",1.5074812967581
"political_knowledge_score_median",1
"political_knowledge_score_sd",1.46130066746149
"political_knowledge_score_min",0
"political_knowledge_score_max",6
